Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
ADC, huanfeng (14480604), huanfeng,14480604,CPT,12300,SN@DMO 04/12/2020 02:00AM ET,SN,78.01
ADC, Weiwei (14480647), Weiwei,14480647,CPT,12000,SN@DMO 04/12/2020 02:00AM ET,SN,55.76
MID, Doinb (14480574), Doinb,14480574,CPT,12000,FPX@EDG 04/12/2020 04:00AM ET,FPX,86.44
ADC, Puff (14480605), Puff,14480605,CPT,12000,BLG@iG 04/12/2020 05:30AM ET,iG,80.83
MID, Angel (14480575), Angel,14480575,CPT,11700,SN@DMO 04/12/2020 02:00AM ET,SN,71.07
ADC, Lwx (14480606), Lwx,14480606,CPT,11700,FPX@EDG 04/12/2020 04:00AM ET,FPX,83.52
ADC, Deft (14480607), Deft,14480607,CPT,11400,DRX@AF 04/12/2020 04:00AM ET,DRX,77.95
ADC, April (14480648), April,14480648,CPT,11400,FPX@EDG 04/12/2020 04:00AM ET,FPX,0
MID, Rookie (14480576), Rookie,14480576,CPT,11400,BLG@iG 04/12/2020 05:30AM ET,iG,75.22
MID, Bdd (14480577), Bdd,14480577,CPT,11100,HLE@GEN 04/12/2020 05:30AM ET,GEN,74.84
JNG, SofM (14480594), SofM,14480594,CPT,11100,SN@DMO 04/12/2020 02:00AM ET,SN,63.38
ADC, Hope (14480608), Hope,14480608,CPT,11100,FPX@EDG 04/12/2020 04:00AM ET,EDG,86.85
MID, Chovy (14480578), Chovy,14480578,CPT,10800,DRX@AF 04/12/2020 04:00AM ET,DRX,70.48
ADC, Ruler (14480609), Ruler,14480609,CPT,10800,HLE@GEN 04/12/2020 05:30AM ET,GEN,72.40
JNG, Tian (14480595), Tian,14480595,CPT,10800,FPX@EDG 04/12/2020 04:00AM ET,FPX,71.28
MID, Quad (14480632), Quad,14480632,CPT,10500,DRX@AF 04/12/2020 04:00AM ET,DRX,84.36
MID, xiye (14480579), xiye,14480579,CPT,10500,SN@DMO 04/12/2020 02:00AM ET,DMO,44.07
ADC, Gala (14480610), Gala,14480610,CPT,10500,SN@DMO 04/12/2020 02:00AM ET,DMO,54.63
JNG, mingjing (14480641), mingjing,14480641,CPT,10500,FPX@EDG 04/12/2020 04:00AM ET,FPX,0
JNG, Leyan (14480596), Leyan,14480596,CPT,10500,BLG@iG 04/12/2020 05:30AM ET,iG,57.76
JNG, Pyosik (14480597), Pyosik,14480597,CPT,10200,DRX@AF 04/12/2020 04:00AM ET,DRX,67.02
ADC, Mystic (14480611), Mystic,14480611,CPT,10200,DRX@AF 04/12/2020 04:00AM ET,AF,59.66
MID, Xiaowei (14480633), Xiaowei,14480633,CPT,10200,SN@DMO 04/12/2020 02:00AM ET,DMO,52.94
MID, Scout (14480580), Scout,14480580,CPT,10200,FPX@EDG 04/12/2020 04:00AM ET,EDG,74.25
TOP, TheShy (14480564), TheShy,14480564,CPT,10200,BLG@iG 04/12/2020 05:30AM ET,iG,62.98
JNG, Ning (14480642), Ning,14480642,CPT,10200,BLG@iG 04/12/2020 05:30AM ET,iG,54.80
ADC, SS (14480649), SS,14480649,CPT,9900,DRX@AF 04/12/2020 04:00AM ET,AF,30.25
JNG, Clid (14480598), Clid,14480598,CPT,9900,HLE@GEN 04/12/2020 05:30AM ET,GEN,65.87
TOP, bin (14480565), bin,14480565,CPT,9900,SN@DMO 04/12/2020 02:00AM ET,SN,35.61
MID, FoFo (14480581), FoFo,14480581,CPT,9900,BLG@iG 04/12/2020 05:30AM ET,BLG,67.42
JNG, Xiaopeng (14480599), Xiaopeng,14480599,CPT,9600,SN@DMO 04/12/2020 02:00AM ET,DMO,52.34
TOP, Biubiu (14480624), Biubiu,14480624,CPT,9600,SN@DMO 04/12/2020 02:00AM ET,SN,57.89
TOP, Khan (14480566), Khan,14480566,CPT,9600,FPX@EDG 04/12/2020 04:00AM ET,FPX,66.10
ADC, Jinjiao (14480612), Jinjiao,14480612,CPT,9600,BLG@iG 04/12/2020 05:30AM ET,BLG,60.79
MID, All iN (14480582), All iN,14480582,CPT,9300,DRX@AF 04/12/2020 04:00AM ET,AF,41.29
TOP, Rascal (14480567), Rascal,14480567,CPT,9300,HLE@GEN 04/12/2020 05:30AM ET,GEN,61.60
ADC, Vsta (14480613), Vsta,14480613,CPT,9300,HLE@GEN 04/12/2020 05:30AM ET,HLE,44.10
JNG, bless (14480643), bless,14480643,CPT,9300,SN@DMO 04/12/2020 02:00AM ET,DMO,8.72
TOP, GimGoon (14480625), GimGoon,14480625,CPT,9300,FPX@EDG 04/12/2020 04:00AM ET,FPX,62.69
TOP, Xiao7 (14480626), Xiao7,14480626,CPT,9300,FPX@EDG 04/12/2020 04:00AM ET,FPX,0
SUP, Southwind (14480584), Southwind,14480584,CPT,9300,BLG@iG 04/12/2020 05:30AM ET,iG,61.12
ADC, Wings (14480650), Wings,14480650,CPT,9300,BLG@iG 04/12/2020 05:30AM ET,BLG,0
TOP, Doran (14480568), Doran,14480568,CPT,9000,DRX@AF 04/12/2020 04:00AM ET,DRX,60.87
MID, Fly (14480634), Fly,14480634,CPT,9000,DRX@AF 04/12/2020 04:00AM ET,AF,46.83
MID, Tempt (14480583), Tempt,14480583,CPT,9000,HLE@GEN 04/12/2020 05:30AM ET,HLE,50.87
ADC, Zenit (14480651), Zenit,14480651,CPT,9000,HLE@GEN 04/12/2020 05:30AM ET,HLE,22.63
SUP, SwordArt (14480585), SwordArt,14480585,CPT,9000,SN@DMO 04/12/2020 02:00AM ET,SN,49.74
JNG, JieJie (14480600), JieJie,14480600,CPT,9000,FPX@EDG 04/12/2020 04:00AM ET,EDG,84.82
TEAM, Invictus Gaming (14480614), Invictus Gaming,14480614,CPT,9000,BLG@iG 04/12/2020 05:30AM ET,iG,44.25
SUP, Baolan (14480636), Baolan,14480636,CPT,9000,BLG@iG 04/12/2020 05:30AM ET,iG,0
SUP, Fate (14480637), Fate,14480637,CPT,9000,BLG@iG 04/12/2020 05:30AM ET,iG,0
TEAM, Gen.G (14480615), Gen.G,14480615,CPT,8700,HLE@GEN 04/12/2020 05:30AM ET,GEN,54.62
MID, Lava (14480635), Lava,14480635,CPT,8700,HLE@GEN 04/12/2020 05:30AM ET,HLE,24.39
TOP, Natural (14480569), Natural,14480569,CPT,8700,SN@DMO 04/12/2020 02:00AM ET,DMO,48.23
SUP, Crisp (14480586), Crisp,14480586,CPT,8700,FPX@EDG 04/12/2020 04:00AM ET,FPX,62.56
JNG, Xinyi (14480644), Xinyi,14480644,CPT,8700,FPX@EDG 04/12/2020 04:00AM ET,EDG,0
JNG, JunJia (14480645), JunJia,14480645,CPT,8700,FPX@EDG 04/12/2020 04:00AM ET,EDG,61.67
JNG, Meteor (14480601), Meteor,14480601,CPT,8700,BLG@iG 04/12/2020 05:30AM ET,BLG,55.78
SUP, Keria (14480587), Keria,14480587,CPT,8400,DRX@AF 04/12/2020 04:00AM ET,DRX,57.93
JNG, Spirit (14480602), Spirit,14480602,CPT,8400,DRX@AF 04/12/2020 04:00AM ET,AF,45.03
TEAM, DragonX (14480616), DragonX,14480616,CPT,8400,DRX@AF 04/12/2020 04:00AM ET,DRX,49.62
TOP, melody (14480627), melody,14480627,CPT,8400,SN@DMO 04/12/2020 02:00AM ET,DMO,10.02
