CPT,TOP,JNG,MID,ADC,SUP,TEAM,Total
 Matsu - FKL, Buggax - FKL, Tierwulf - FKL, Evrot - FKL, pbO - ONE, Panj - ONE, Team oNe - ONE,47800
 Matsu - FKL, Buggax - FKL, Tierwulf - FKL, Brucer - ONE, pbO - ONE, Riyev - FKL, Team oNe - ONE,47800
 Matsu - FKL, SkyBart - ONE, Tierwulf - FKL, Evrot - FKL, pbO - ONE, Riyev - FKL, Team oNe - ONE,47800
 Matsu - FKL, SkyBart - ONE, Tierwulf - FKL, Evrot - FKL, pbO - ONE, Riyev - FKL, Team oNe - ONE,47800
 Matsu - FKL, Buggax - FKL, Tierwulf - FKL, Evrot - FKL, flare - HL, esA - HL, Havan Liberty Gaming - HL,47200
 Matsu - FKL, Buggax - FKL, Tierwulf - FKL, dyNquedo - HL, flare - HL, Riyev - FKL, Havan Liberty Gaming - HL,47200
 Matsu - FKL, Hidan - HL, Tierwulf - FKL, Evrot - FKL, flare - HL, Riyev - FKL, Havan Liberty Gaming - HL,47200
 Matsu - FKL, Hidan - HL, Tierwulf - FKL, Evrot - FKL, flare - HL, Riyev - FKL, Havan Liberty Gaming - HL,47200
 Evrot - FKL, Buggax - FKL, Tierwulf - FKL, Brucer - ONE, Matsu - FKL, Panj - ONE, Team oNe - ONE,47500
 Evrot - FKL, Buggax - FKL, Tierwulf - FKL, Brucer - ONE, pbO - ONE, Riyev - FKL, Team oNe - ONE,47500
 Evrot - FKL, Buggax - FKL, Ryuzaki - ONE, Brucer - ONE, Matsu - FKL, Riyev - FKL, Team oNe - ONE,47500
 Evrot - FKL, SkyBart - ONE, Tierwulf - FKL, Brucer - ONE, Matsu - FKL, Riyev - FKL, Team oNe - ONE,47500
 JackPoT - SAN, Hidan - HL, Hyoga - SAN, Rainbow - SAN, Sarkis - SAN, esA - HL, Havan Liberty Gaming - HL,47800
 JackPoT - SAN, Hidan - HL, Cariok - HL, Rainbow - SAN, Sarkis - SAN, Hawk - SAN, Havan Liberty Gaming - HL,47800
 JackPoT - SAN, Hidan - HL, Hyoga - SAN, dyNquedo - HL, Sarkis - SAN, esA - HL, Santos e-Sports - SAN,47800
 JackPoT - SAN, Hidan - HL, Hyoga - SAN, dyNquedo - HL, Sarkis - SAN, esA - HL, Havan Liberty Gaming - HL,47400
 Cariok - HL, Hidan - HL, Hyoga - SAN, dyNquedo - HL, flare - HL, Hawk - SAN, Santos e-Sports - SAN,47800
 Cariok - HL, Hidan - HL, Hyoga - SAN, dyNquedo - HL, Sarkis - SAN, esA - HL, Santos e-Sports - SAN,47800
 Cariok - HL, Hidan - HL, Hyoga - SAN, Rainbow - SAN, flare - HL, esA - HL, Santos e-Sports - SAN,47800
 Cariok - HL, JackPoT - SAN, Hyoga - SAN, dyNquedo - HL, flare - HL, esA - HL, Santos e-Sports - SAN,47800
 Hawk - SAN, JackPoT - SAN, Hyoga - SAN, Rainbow - SAN, pbO - ONE, Panj - ONE, Team oNe - ONE,47200
 Hawk - SAN, SkyBart - ONE, Hyoga - SAN, Rainbow - SAN, Sarkis - SAN, Panj - ONE, Team oNe - ONE,47200
