
1Ground	SUPPORT	11	45.5%	2.1	0.8	3.8	7.1	0.9	236	10.3	203	2.18	1.24	0.32	0.36	-348
369	TOP	42	57.1%	3.4	2.8	2.5	5.6	8.2	398	23.7	483	-	0.41	0.18	0.14	-
3z	TOP	20	35%	1.4	1.6	3.7	3.5	7.9	361	25.7	395	1.01	0.48	0.17	0.20	-569
5Kid	ADC	2	0%	2	4.5	3.5	2.5	9.7	410	17.8	309	1.03	0.36	0.34	0.05	-1344
5fire	MID	12	66.7%	2.9	3.1	3.1	5.9	7.3	361	30.4	574	1.08	0.39	0.19	0.17	-88
705	TOP	20	50%	2.3	1.6	3.2	5.8	7.2	343	21.6	367	-	0.46	0.16	0.15	-
ADD	TOP	9	33.3%	2.3	2.2	3.6	6	6.4	340	21.8	483	-	0.48	0.25	0.19	-
AHaHaCiK	JUNGLE	15	86.7%	5.7	4.5	2.1	7.5	5.6	390	18.3	424	1.27	0.38	0.27	0.27	1087
ALL IN	MID	12	58.3%	5.6	3.4	1.4	4.5	7.8	369	21.0	356	0.94	0.58	0.15	0.32	-548
Abbedagge	MID	18	33.3%	2.9	4.2	2.8	4.1	9.3	417	34.6	625	1.21	0.56	0.23	0.27	-146
Ablazeolive	MID	18	44.4%	2.6	2.6	3.2	5.7	8	368	31.9	555	1.04	0.47	0.18	0.20	124
Absolut	ADC	15	66.7%	5.9	4.4	2	7.4	8.7	428	25.5	524	1.15	0.44	0.32	0.17	205
Absolute	SUPPORT	13	76.9%	4.5	1	2.7	11.2	1	251	10.6	178	2.01	0.90	0.25	0.26	280
Absolute	ADC	2	0%	1	1	4.5	3.5	6.2	316	13.7	196	0.34	0.28	0.04	0.14	-45
Acce	TOP	14	71.4%	3.7	2.1	1.9	5.1	8.1	382	23.0	408	1.13	0.40	0.25	0.16	571
Ace	MID	21	66.7%	5.4	2.7	1.6	6	7.3	357	24.8	457	1.21	0.55	0.21	0.25	-145
Acefos	TOP	17	47.1%	1.8	2.2	4.2	5.5	6.9	342	22.2	450	1.07	0.46	0.17	0.15	-360
Achuu	ADC	2	50%	3.7	7	3.5	6	8.8	452	32.8	490	1.22	0.44	0.31	0.17	2388
Acidy	TOP	18	27.8%	1.9	1.7	3.5	4.8	7.7	365	26.0	484	1.09	0.54	0.21	0.24	62
Aesenar	SUPPORT	26	42.3%	3.5	0.6	1.8	5.7	0.8	219	9.5	174	2.34	1.45	0.28	0.50	-226
Afm	ADC	22	72.7%	6.5	5.2	1.9	7	8.6	425	30.8	616	1.21	0.41	0.32	0.20	236
Afm	SUPPORT	3	33.3%	2.5	0.7	2	4.3	1.6	247	24.8	381	2.33	0.85	0.61	0.21	123
Agresivoo	TOP	18	61.1%	3.4	2.3	2.4	6	8.1	397	19.6	383	0.95	0.39	0.12	0.15	135
Agurin	JUNGLE	24	62.5%	3	3.8	3.7	7.2	6.5	372	21.5	463	1.73	0.55	0.41	0.22	632
Aiming	ADC	44	50%	5.3	4.2	1.5	3.9	10.5	463	34.2	591	1.46	0.44	0.48	0.14	462
Aiming	SUPPORT	4	100%	12	2.8	0.8	6.3	2.1	333	25.2	430	3.61	1.21	0.92	0.19	976
Aix	JUNGLE	43	55.8%	3.9	2.3	2.3	6.5	5.5	327	15.7	286	-	0.60	0.42	0.37	-
Aizhon	SUPPORT	21	42.9%	5.4	0.5	1.7	8.6	1.1	223	7.3	138	2.45	1.49	0.37	0.51	-74
Akaadian	JUNGLE	20	65%	5.1	3.7	2.1	6.9	5.4	336	13.8	259	1.60	0.50	0.43	0.36	339
Akeno	SUPPORT	9	22.2%	1.4	1.3	4.1	4.6	0.9	227	10.3	186	1.89	1.05	0.21	0.32	-618
Algos	SUPPORT	10	40%	3.2	0.7	2.6	7.5	0.9	213	7.2	110	2.27	1.44	0.19	0.50	-328
Aliez	TOP	27	11.1%	1.4	1.8	3.4	2.9	7.2	336	20.0	333	-	0.39	0.09	0.15	-
Alive	SUPPORT	1	100%	4	4	3	8	2.6	327	27.3	604	2.20	0.97	0.44	0.18	445
Alive	ADC	13	76.9%	4.6	5.8	2.5	5.5	10.2	472	29.0	594	1.41	0.41	0.47	0.14	498
Alois	TOP	9	77.8%	6	3.8	1.7	6.2	9.8	459	26.6	474	1.10	0.50	0.16	0.17	671
Aloned	MID	15	53.3%	3.4	3.6	2.9	6.3	7.4	374	27.4	536	1.00	0.49	0.17	0.22	96
Alphari	TOP	30	60%	4.1	2.9	1.8	4.7	8.3	403	22.8	462	1.03	0.47	0.14	0.16	464
Altec	ADC	18	33.3%	2.2	2.6	2.6	3	8.8	393	26.2	410	1.30	0.48	0.36	0.19	-113
Alternative	ADC	12	41.7%	2.8	2.6	2.6	4.8	8.9	409	27.7	479	1.28	0.46	0.30	0.21	-125
Alternative	SUPPORT	2	100%	-	6.5	0	11.5	2.1	373	24.6	596	2.63	1.01	0.55	0.19	1956
Alun	TOP	4	25%	0.9	1	4.3	2.8	7.9	339	24.9	373	-	0.36	0.13	0.04	-
AnDa	JUNGLE	23	73.9%	6.8	3.7	1.7	8	5.5	335	13.9	276	1.90	0.56	0.54	0.37	310
Angel	MID	42	42.9%	4.4	4.1	2.3	5.9	7.8	384	26.1	522	-	0.48	0.19	0.23	-
Annyeong	MID	6	33.3%	1.9	3	3.5	3.7	8.6	402	27.3	426	0.98	0.56	0.12	0.25	-117
Annyeong	SUPPORT	11	27.3%	2.4	0.6	3.9	8.8	0.9	217	9.1	189	2.36	1.55	0.28	0.45	37
Anyyy	MID	15	46.7%	4.5	3.1	2	5.9	7.8	372	29.9	566	1.07	0.45	0.20	0.17	155
